Drug_Name,Purpose,Indications,Warnings
carnitine,"PURPOSE: Aids in mobilization of fat deposits and cellulite.† †Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.","INDICATIONS: Aids in mobilization of fat deposits and cellulite.† †Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.","WARNINGS: Professional Use Only If pregnant or breast-feeding, ask a health professional before use. In case of overdose, get medical help or contact a Poison Control Center right away. If condition worsens, seek medical attention. KEEP OUT OF REACH OF CHILDREN Do not use if tamper evident seal is broken or missing. Store in a cool place after opening"
gamma-aminobutyric,"PURPOSE: Acetylcholine Chloride – Neurological Support, Adrenalinum - Anxiety, GABA (Gamma-Aminobutyric Acid) – Appetite Control, Histaminum Hydrochloricum - Hives, Hydrastis Canadensis - Lethargy, Norepinephrine (Bitartrate) – Poor Memory, Taraxacum Officinale – Travel Sickness, Tyramine – Mood Swings",USES: • For the temporary relief from symptoms including: • neurological support • anxiety • appetite control • hives • lethargy • poor memory • mood swings • travel sickness These statements are based upon homeopathic principles. They have not been reviewed by the Food and Drug Administration.,"WARNINGS: If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, contact a physician or Poison Control Center right away. Tamper Evident: Sealed for your protection. Do not use if seal is broken or missing."
5-aminolevulinic,Anorectal/Hemorrhoidal,"For the temporary relief of pain, soreness, and burning. Helps relieve the local itching and discomfort associated with hemorrhoids. Temporarily shrinks hemorrhoidal tissue. Temporarily provides a coating for the relief of anorectal discomforts. Temporarily protects the inflamed, irritated anorectal surface to help make bowel movements less painful.","For external use only. Ask a doctor before use if you have: heart disease, high blood pressure, thyroid disease, diabetes, or difficulty in urination due to enlargement of the prostate gland. Ask a doctor or pharmacist before use if you are presently taking a prescription drug for high blood pressure or depression. When using this product : avoid contact with eyes, do not exceed recommended dosage unless directed by a doctor, do not put this product into rectum by using fingers or any mechanical device or applicator. Stop use and ask a doctor if : rectal bleeding occurs, condition worsens or does not improve within seven (7) days, allergic reaction occurs to ingredients in this product, symptom being treated does not subside or if redness, irritation, swelling, pain or other symptoms develop or increase, symptoms clear up and return within a few days."
leucovorin,,INDICATIONS AND USAGE Leucovorin calcium rescue is indicated after high dose methotrexate therapy in osteosarcoma. Leucovorin calcium is also indicated to diminish the toxicity and counteract the effects of impaired methotrexate elimination and of inadvertent over dosages of folic acid antagonists. Leucovorin calcium is indicated in the treatment of megaloblastic anemias due to folic acid deficiency when oral therapy is not feasible. Leucovorin is also indicated for use in combination with 5-fluorouracil to prolong survival in the palliative treatment of patients with advanced colorectal cancer. Leucovorin should not be mixed in the same infusion as 5-fluorouracil because a precipitate may form.,"WARNINGS In the treatment of accidental overdosages of folic acid antagonists, intravenous leucovorin should be administered as promptly as possible. As the time interval between antifolate administration (e.g., methotrexate) and leucovorin rescue increases, leucovorin's effectiveness in counteracting toxicity decreases. In the treatment of accidental overdosages of intrathecally adminstered folic acid antagonists, do not adminster leucovorin intrathecally. LEUCOVORIN MAY BE HARMFUL OR FATAL IF GIVEN INTRATHECALLY. Monitoring of the serum methotrexate concentration is essential in determining the optimal dose and duration of treatment with leucovorin. Delayed methotrexate excretion may be caused by a third space fluid accumulation (i.e., ascites, pleural effusion), renal insufficiency, or inadequate hydration. Under such circumstances, higher doses of leucovorin or prolonged administration may be indicated. Doses higher than those recommended for oral use must be given intravenously. Because of the benzyl alcohol contained in certain diluents used for reconstituting Leucovorin Calcium for Injection, when doses greater than 10 mg/m 2 are administered, Leucovorin Calcium for Injection should be reconstituted with Sterile Water for Injection, USP, and used immediately (see DOSAGE AND ADMINISTRATION section). Because of the calcium content of the leucovorin solution, no more than 160 mg of leucovorin should be injected intravenously per minute (16 mL of a 10 mg/mL, or 8 mL of a 20 mg/mL solution per minute). Leucovorin enhances the toxicity of 5-fluorouracil. When these drugs are administered concurrently in the palliative therapy of advanced colorectal cancer, the dosage of 5-fluorouracil must be lower than usually administered. Although the toxicities observed in patients treated with the combination of leucovorin plus 5-fluorouracil are qualitatively similar to those observed in patients treated with 5-fluorouracil alone, gastrointestinal toxicities (particularly stomatitis and diarrhea) are observed more commonly and may be more severe and of prolonged duration in patients treated with the combination. In the first Mayo/NCCTG controlled trial, toxicity, primarily gastrointestinal, resulted in 7% of patients requiring hospitalization when treated with 5-fluorouracil alone or 5-fluorouracil in combination with 200 mg/m 2 of leucovorin and 20% when treated with 5-fluorouracil in combination with 20 mg/m 2 of leucovorin. In the second Mayo/NCCTG trial, hospitalizations related to treatment toxicity also appeared to occur more often in patients treated with the low dose leucovorin/5-fluorouracil combination than in patients treated with the high dose combination -11% versus 3%. Therapy with leucovorin and 5-fluorouracil must not be initiated or continued in patients who have symptoms of gastrointestinal toxicity of any severity, until those symptoms have completely resolved. Patients with diarrhea must be monitored with particular care until the diarrhea has resolved, as rapid clinical deterioration leading to death can occur. In an additional study utilizing higher weekly doses of 5-fluorouracil and leucovorin, elderly and/or debilitated patients were found to be at greater risk for severe gastrointestinal toxicity. Seizures and/or syncope have been reported rarely in cancer patients receiving leucovorin, usually in association with fluoropyrimidine administration, and most commonly in those with CNS metastases or other predisposing factors, however, a causal relationship has not been established. 5 The concomitant use of leucovorin with trimethoprim-sulfamethoxazole for the acute treatment of Pneumocystis carinii pneumonia in patients with HIV infection was associated with increased rates of treatment failure and morbidity in a placebo-controlled study."
5-methyltetrahydrofolate,Anorectal/Hemorrhoidal,"For the temporary relief of pain, soreness, and burning. Helps relieve the local itching and discomfort associated with hemorrhoids. Temporarily shrinks hemorrhoidal tissue. Temporarily provides a coating for the relief of anorectal discomforts. Temporarily protects the inflamed, irritated anorectal surface to help make bowel movements less painful.","For external use only. Ask a doctor before use if you have: heart disease, high blood pressure, thyroid disease, diabetes, or difficulty in urination due to enlargement of the prostate gland. Ask a doctor or pharmacist before use if you are presently taking a prescription drug for high blood pressure or depression. When using this product : avoid contact with eyes, do not exceed recommended dosage unless directed by a doctor, do not put this product into rectum by using fingers or any mechanical device or applicator. Stop use and ask a doctor if : rectal bleeding occurs, condition worsens or does not improve within seven (7) days, allergic reaction occurs to ingredients in this product, symptom being treated does not subside or if redness, irritation, swelling, pain or other symptoms develop or increase, symptoms clear up and return within a few days."
acetate,,1 INDICATIONS AND USAGE Calcium acetate is a phosphate binder indicated to reduce serum phosphorus in patients with end stage renal disease (ESRD). Calcium acetate is a phosphate binder indicated for the reduction of serum phosphorus in patients with end stage renal disease. ( 1 ),
acetylcholine,"INDICATIONS: May temporarily relieve symptoms associated with reactions to actylcholine chloride, such as chest congestion with mild constriction. ** **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.","INDICATIONS: May temporarily relieve symptoms associated with reactions to actylcholine chloride, such as chest congestion with mild constriction. ** **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.","WARNINGS: If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
adenosine,skin protect,"How to use; At the last stage of basic care, apply an appropriate amount to the face, neck, arms, and legs that are easily exposed to UV rays.","Precautions when using 1. When using cosmetics or after use, if there are any abnormal symptoms or side effects such as red spots, swelling, or itching in the area of use due to direct sunlight, consult with a specialist. 2. Refrain from using on areas with scars, etc. 3. Precautions for storage and handling A) Keep out of reach of children B) Store away from direct sunlight."
glucose,Purpose Upset Stomach Reliever,Uses for relief of upset stomach associated with nausea,"Warnings this product contains fructose and should not be taken by persons with hereditary fructose intolerance (HFI). Do not use if you have allergic reactions to any of the ingredients in this product Ask a doctor before use if you have diabetes Stop use and ask a doctor if symptoms persist, return or get worse If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. (1-800-222-1222)"
ammonia,,,
